poll	workload	req_delay	req_min	req_max	rep_delay	rep_min	rep_max
45	200	0.028	0.028	0.029	0.042	0.035	0.051
50	200	0.033	0.032	0.034	0.258	0.236	0.273
55	200	0.044	0.041	0.045	0.057	0.046	0.075
60	200	0.040	0.040	0.040	0.124	0.016	0.244
65	200	0.041	0.040	0.042	0.008	0.006	0.010
70	200	0.045	0.042	0.048	0.007	0.006	0.007
75	200	0.058	0.054	0.064	0.032	0.018	0.045
80	200	0.051	0.048	0.053	0.010	0.006	0.017
85	200	0.056	0.051	0.060	0.053	0.022	0.077
90	200	0.072	0.062	0.080	0.079	0.063	0.103
95	200	0.062	0.060	0.066	0.119	0.116	0.123
100	200	0.077	0.074	0.082	0.374	0.287	0.532
105	200	0.077	0.069	0.086	0.509	0.491	0.533
110	200	0.123	0.117	0.127	0.055	0.045	0.068
115	200	0.090	0.083	0.099	0.059	0.051	0.067
120	200	0.104	0.100	0.111	0.161	0.035	0.300
125	200	0.099	0.084	0.114	0.038	0.014	0.064
130	200	0.097	0.087	0.106	0.018	0.008	0.030
135	200	0.099	0.093	0.105	0.011	0.004	0.023
140	200	0.104	0.096	0.116	0.010	0.005	0.014
145	200	0.116	0.099	0.135	0.014	0.005	0.027
150	200	0.137	0.126	0.156	0.028	0.014	0.054
155	200	0.142	0.117	0.170	0.024	0.004	0.041
160	200	0.134	0.111	0.155	0.013	0.004	0.022
165	200	0.141	0.121	0.155	0.011	0.007	0.016
170	200	0.150	0.134	0.159	0.017	0.004	0.028
175	200	0.154	0.140	0.170	0.019	0.013	0.023
180	200	0.165	0.154	0.187	0.014	0.004	0.031
185	200	0.172	0.154	0.198	0.010	0.004	0.021
190	200	0.186	0.160	0.218	0.013	0.004	0.029
195	200	0.205	0.173	0.241	0.019	0.004	0.037
200	200	0.292	0.275	0.325	0.024	0.012	0.049
205	200	0.359	0.318	0.399	0.035	0.008	0.067
210	200	0.252	0.210	0.292	0.017	0.005	0.029
215	200	0.262	0.219	0.300	0.015	0.004	0.036
220	200	0.272	0.233	0.304	0.012	0.004	0.027
225	200	0.291	0.254	0.315	0.014	0.004	0.032
230	200	0.321	0.289	0.339	0.019	0.004	0.033
235	200	0.420	0.391	0.442	0.017	0.008	0.026
240	200	0.420	0.389	0.450	0.015	0.007	0.032
245	200	0.418	0.391	0.452	0.018	0.006	0.038
250	200	0.485	0.461	0.522	0.019	0.005	0.029
255	200	0.606	0.584	0.646	0.033	0.004	0.065
260	200	0.607	0.573	0.656	0.029	0.005	0.045
265	200	0.705	0.665	0.756	0.016	0.006	0.031
270	200	0.800	0.749	0.854	0.016	0.004	0.040
275	200	0.925	0.869	0.987	0.014	0.004	0.033
280	200	1.138	1.072	1.198	0.014	0.007	0.028
285	200	1.524	1.447	1.585	0.016	0.004	0.036
290	200	2.443	2.355	2.490	0.018	0.004	0.036
295	200	9.049	8.937	9.143	0.034	0.007	0.057
300	200	44.029	43.737	44.250	0.029	0.013	0.060
305	200	62.165	61.688	62.507	0.037	0.008	0.068
310	200	61.435	60.996	61.760	0.024	0.007	0.039
315	200	27.947	27.688	28.191	0.022	0.004	0.039
320	200	26.353	26.088	26.487	0.019	0.005	0.033
325	200	32.735	32.470	32.883	0.014	0.005	0.027
330	200	37.712	37.407	37.884	0.015	0.006	0.030
335	200	44.503	44.059	44.762	0.017	0.004	0.041
340	200	48.616	48.097	48.883	0.012	0.006	0.026
345	200	54.278	53.709	54.612	0.022	0.005	0.034
350	200	63.283	62.738	63.687	0.025	0.006	0.041
