poll	workload	req_delay	req_min	req_max	rep_delay	rep_min	rep_max
3020	70	197.968	195.371	200.564	0.004	0.004	0.004
3040	70	197.641	195.320	199.962	0.004	0.004	0.004
3060	70	198.383	196.296	200.469	0.004	0.004	0.004
3080	70	200.013	197.542	202.484	0.004	0.004	0.004
3100	70	202.108	199.416	204.800	0.004	0.004	0.004
3120	70	203.672	200.578	206.767	0.005	0.004	0.005
3140	70	204.688	201.328	208.047	0.004	0.004	0.004
3160	70	205.798	201.647	209.949	0.004	0.004	0.004
3180	70	206.669	202.577	210.761	0.004	0.004	0.004
3200	70	208.922	204.569	213.275	0.004	0.004	0.004
3220	70	209.124	206.151	212.098	0.006	0.004	0.007
3240	70	210.561	207.712	213.410	0.006	0.004	0.007
3260	70	212.324	209.995	214.653	0.004	0.004	0.004
3280	70	214.276	211.511	217.041	0.004	0.004	0.004
3300	70	215.425	212.998	217.851	0.004	0.004	0.004
3320	70	216.531	215.273	217.788	0.004	0.004	0.004
3340	70	218.396	217.119	219.673	0.004	0.004	0.004
3360	70	219.657	218.986	220.327	0.004	0.004	0.004
3380	70	221.274	220.810	221.738	0.004	0.004	0.004
3400	70	222.025	221.351	222.698	0.004	0.004	0.004
3420	70	223.357	223.111	223.603	0.004	0.004	0.004
3440	70	224.662	223.978	225.346	0.004	0.004	0.004
3460	70	226.174	226.135	226.212	0.005	0.004	0.005
3480	70	227.876	227.402	228.350	0.004	0.004	0.004
3500	70	229.338	229.144	229.531	0.004	0.004	0.004
3520	70	231.010	230.806	231.213	0.004	0.004	0.004
3540	70	231.535	230.162	232.909	0.004	0.004	0.004
3560	70	232.210	230.350	234.070	0.004	0.004	0.004
3580	70	233.549	230.956	236.142	0.004	0.004	0.004
3600	70	234.398	231.521	237.275	0.004	0.004	0.004
3620	70	235.924	232.526	239.323	0.004	0.004	0.004
